date,meantemp,humidity,meanpressure,wind_speed
2019-01-01,8.83,5.43,101.86,3.84
2019-01-02,10.98,6.23,101.66,2.51
2019-01-03,12.08,7.51,101.45,1.75
2019-01-04,14.71,9.03,101.2,1.73
2019-01-05,16.49,10.38,101.04,1.98
2019-01-06,16.3,10.25,101.0,2.03
2019-01-07,17.32,11.23,100.89,1.71
2019-01-08,15.88,10.19,100.89,3.44
2019-01-09,13.32,8.48,101.05,2.7
2019-01-10,15.8,10.25,100.81,1.7
2019-01-11,19.36,12.7,100.71,1.7
2019-01-12,19.53,12.94,100.69,2.87
2019-01-13,20.16,13.18,100.65,2.51
2019-01-14,20.46,13.43,100.5,3.21
2019-01-15,16.77,10.56,100.82,4.4
2019-01-16,11.05,7.02,101.29,3.26
2019-01-17,12.19,6.84,101.3,2.53
2019-01-18,13.46,8.3,101.03,1.84
2019-01-19,17.08,10.93,100.71,1.71
2019-01-20,19.01,12.02,100.79,2.49
2019-01-21,12.69,7.2,101.41,3.97
2019-01-22,13.24,6.59,101.37,2.04
2019-01-23,14.38,8.12,101.01,1.79
2019-01-24,16.44,10.38,100.76,2.65
2019-01-25,18.76,11.96,100.92,2.14
2019-01-26,17.55,11.05,101.18,2.31
2019-01-27,17.15,10.44,101.05,2.37
2019-01-28,17.71,10.99,100.86,1.99
2019-01-29,19.08,12.15,100.77,2.33
2019-01-30,20.07,12.94,100.7,3.91
2019-01-31,20.69,13.43,100.83,2.32
2019-02-01,17.76,10.25,100.97,2.77
2019-02-02,18.84,11.9,100.52,2.88
2019-02-03,21.53,13.85,100.48,2.32
2019-02-04,21.91,14.34,100.57,2.95
2019-02-05,22.38,14.22,100.4,2.23
2019-02-06,22.49,14.22,100.12,3.22
2019-02-07,22.54,12.08,100.09,2.41
2019-02-08,22.4,11.72,100.04,2.38
2019-02-09,21.59,12.88,100.22,2.43
2019-02-10,23.15,15.44,100.63,3.86
2019-02-11,17.69,10.86,101.13,3.25
2019-02-12,19.51,12.45,101.08,2.09
2019-02-13,21.33,14.16,100.83,3.3
2019-02-14,21.5,13.73,100.62,4.27
2019-02-15,22.29,14.59,100.58,4.12
2019-02-16,23.01,15.5,100.41,3.72
2019-02-17,22.54,15.99,100.14,5.04
2019-02-18,23.67,14.71,99.95,2.73
2019-02-19,23.98,15.2,100.21,2.33
2019-02-20,24.66,15.99,100.38,2.77
2019-02-21,24.73,14.89,100.39,2.34
2019-02-22,18.27,10.68,100.58,3.75
2019-02-23,17.98,11.11,100.44,3.26
2019-02-24,15.46,8.67,100.68,2.74
2019-02-25,17.02,10.44,100.65,2.04
2019-02-26,18.87,12.15,100.43,2.19
2019-02-27,22.02,14.4,100.22,2.57
2019-02-28,22.83,15.26,100.17,3.47
2019-03-01,23.14,15.56,100.16,4.55
2019-03-02,24.55,16.36,99.86,3.3
2019-03-03,23.76,15.62,99.91,2.55
2019-03-04,22.89,15.44,99.83,4.47
